FID,kmlgeometry
0.0,"<LineString><coordinates>-16.44896518,15.715158194600001 -16.44896518,15.715158194600001</coordinates></LineString>"
1.0,"<LineString><coordinates>-16.366210602399999,15.677648834699999 -16.366210602399999,15.677648834699999</coordinates></LineString>"
2.0,"<LineString><coordinates>-16.44896518,15.715158194600001 -16.448978349299999,15.717019969300001</coordinates></LineString>"
3.0,"<LineString><coordinates>-16.563990074300001,15.704938177100001 -16.561971920899996,15.708233326799999</coordinates></LineString>"
