FID,kmlgeometry
0.0,"<LineString><coordinates>-16.440580342499999,15.7818792129 -16.453661396800001,15.771994881199999</coordinates></LineString>"
1.0,"<LineString><coordinates>-16.469954261800002,15.7520920989 -16.465145024260288,15.757664811651839</coordinates></LineString>"
2.0,"<LineString><coordinates>-16.423280443499998,15.7746088886 -16.424253694899999,15.760258881900002</coordinates></LineString>"
3.0,"<LineString><coordinates>-16.453661396800001,15.771994881199999 -16.465651217231503,15.758101654953819</coordinates></LineString>"
4.0,"<LineString><coordinates>-16.451608012600001,15.671956245100001 -16.432366074,15.6657833457</coordinates></LineString>"
5.0,"<LineString><coordinates>-16.432293605199998,15.800733318900001 -16.440580342499999,15.7818792129</coordinates></LineString>"
6.0,"<LineString><coordinates>-16.501723889699999,15.753646883399998 -16.516911670500001,15.769258557500001</coordinates></LineString>"
