FID,kmlgeometry
0.0,"<LineString><coordinates>-16.420235632699999,15.7380691349 -16.421145390100001,15.7320075832</coordinates></LineString>"
1.0,"<LineString><coordinates>-16.580773019,15.6647531802 -16.579503754400001,15.658598601600001</coordinates></LineString>"
2.0,"<LineString><coordinates>-16.426021885200001,15.709994758900001 -16.4079059526,15.7051954498</coordinates></LineString>"
3.0,"<LineString><coordinates>-16.562115181700001,15.7111153501 -16.561971920899996,15.708233326799999</coordinates></LineString>"
4.0,"<LineString><coordinates>-16.430523206,15.7546050702 -16.4252544233,15.7565466675</coordinates></LineString>"
5.0,"<LineString><coordinates>-16.554522313,15.724897932499999 -16.550202856199995,15.729926563399999</coordinates></LineString>"
6.0,"<LineString><coordinates>-16.551477845899999,15.712239566600001 -16.561971920899996,15.708233326799999</coordinates></LineString>"
7.0,"<LineString><coordinates>-16.381016002,15.702547105599999 -16.381203733299998,15.7054833996</coordinates></LineString>"
8.0,"<LineString><coordinates>-16.3778092694,15.701600239600001 -16.381016002,15.702547105599999</coordinates></LineString>"
9.0,"<LineString><coordinates>-16.374650319600001,15.691072288399999 -16.378273269499999,15.688726605899999</coordinates></LineString>"
10.0,"<LineString><coordinates>-16.3778092694,15.701600239600001 -16.374650319600001,15.691072288399999</coordinates></LineString>"
11.0,"<LineString><coordinates>-16.374650319600001,15.691072288399999 -16.366210602399999,15.677648834700001</coordinates></LineString>"
12.0,"<LineString><coordinates>-16.534961981,15.779209181800001 -16.530071384799999,15.7904234269</coordinates></LineString>"
13.0,"<LineString><coordinates>-16.516911670500001,15.769258557500001 -16.532311279,15.7630501545</coordinates></LineString>"
14.0,"<LineString><coordinates>-16.534961981,15.779209181800001 -16.532311279,15.7630501545</coordinates></LineString>"
15.0,"<LineString><coordinates>-16.532311279,15.7630501545 -16.544353751,15.744961779</coordinates></LineString>"
16.0,"<LineString><coordinates>-16.426021885200001,15.709994758900001 -16.448697856599999,15.714301342600001</coordinates></LineString>"
