FID,kmlgeometry
0.0,"<LineString><coordinates>-16.429254003699999,15.634088344 -16.429545267799998,15.634393748100001</coordinates></LineString>"
1.0,"<LineString><coordinates>-16.3899216555,15.6466604644 -16.389104912400001,15.645888337600001</coordinates></LineString>"
2.0,"<LineString><coordinates>-16.4917893157,15.6850894965 -16.489877187800001,15.682571876800001</coordinates></LineString>"
3.0,"<LineString><coordinates>-16.388625555099999,15.7761614299 -16.3942351749,15.781620844200001</coordinates></LineString>"
4.0,"<LineString><coordinates>-16.39430533,15.7262516467 -16.377983045899999,15.7371381339</coordinates></LineString>"
5.0,"<LineString><coordinates>-16.377983045899999,15.7371381339 -16.3926105271,15.7541818902</coordinates></LineString>"
6.0,"<LineString><coordinates>-16.366210602399999,15.677648834699999 -16.366681752800002,15.676949930199999</coordinates></LineString>"
7.0,"<LineString><coordinates>-16.378273269499999,15.688726605899999 -16.374650319600001,15.691072288399999</coordinates></LineString>"
8.0,"<LineString><coordinates>-16.381203733300001,15.7054833996 -16.381016002,15.702547105600001</coordinates></LineString>"
9.0,"<LineString><coordinates>-16.3778092694,15.701600239599999 -16.381016002,15.702547105600001</coordinates></LineString>"
10.0,"<LineString><coordinates>-16.3778092694,15.701600239599999 -16.374650319600001,15.691072288399999</coordinates></LineString>"
11.0,"<LineString><coordinates>-16.394754466799998,15.699016226 -16.381016002,15.702547105600001</coordinates></LineString>"
12.0,"<LineString><coordinates>-16.4079059526,15.7051954498 -16.394754466799998,15.699016226</coordinates></LineString>"
13.0,"<LineString><coordinates>-16.374650319600001,15.691072288399999 -16.366210602399999,15.677648834699999</coordinates></LineString>"
14.0,"<LineString><coordinates>-16.426021885200001,15.709994758900001 -16.4079059526,15.7051954498</coordinates></LineString>"
15.0,"<LineString><coordinates>-16.469954261800002,15.7520920989 -16.460136084,15.7533421084</coordinates></LineString>"
16.0,"<LineString><coordinates>-16.469954261800002,15.7520920989 -16.4708604898,15.7625972445</coordinates></LineString>"
17.0,"<LineString><coordinates>-16.468277819699999,15.735672178 -16.4715683732,15.737773945800001</coordinates></LineString>"
18.0,"<LineString><coordinates>-16.469954261800002,15.7520920989 -16.4715683732,15.737773945800001</coordinates></LineString>"
19.0,"<LineString><coordinates>-16.44896518,15.715158194600001 -16.448697856599999,15.714301342600001</coordinates></LineString>"
20.0,"<LineString><coordinates>-16.44896518,15.715158194600001 -16.448978349299999,15.717019969300001</coordinates></LineString>"
21.0,"<LineString><coordinates>-16.462807914199999,15.719792826600001 -16.448978349299999,15.717019969300001</coordinates></LineString>"
22.0,"<LineString><coordinates>-16.462807914199999,15.719792826600001 -16.453894607500001,15.7313127402</coordinates></LineString>"
23.0,"<LineString><coordinates>-16.453894607500001,15.7313127402 -16.468277819699999,15.735672178</coordinates></LineString>"
24.0,"<LineString><coordinates>-16.453661396800001,15.771994881199999 -16.440580342499999,15.7818792129</coordinates></LineString>"
25.0,"<LineString><coordinates>-16.424253694899999,15.7602588819 -16.4252544233,15.7565466675</coordinates></LineString>"
26.0,"<LineString><coordinates>-16.4252544233,15.7565466675 -16.430523206,15.7546050702</coordinates></LineString>"
27.0,"<LineString><coordinates>-16.431189829400001,15.747180330300001 -16.430523206,15.7546050702</coordinates></LineString>"
