FID,kmlgeometry
0.0,"<LineString><coordinates>-16.5646106682,15.695787514700001 -16.561971920899996,15.708233326799999</coordinates></LineString>"
1.0,"<LineString><coordinates>-16.3926105271,15.7541818902 -16.375752955399999,15.745503687200001</coordinates></LineString>"
2.0,"<LineString><coordinates>-16.375752955399999,15.745503687200001 -16.366210602399999,15.677648834700001</coordinates></LineString>"
