FID,kmlgeometry
0.0,"<LineString><coordinates>-16.429254003699999,15.634088344 -16.429545267799998,15.634393748099999</coordinates></LineString>"
1.0,"<LineString><coordinates>-16.4715683732,15.737773945799999 -16.468277819699999,15.735672178</coordinates></LineString>"
2.0,"<LineString><coordinates>-16.5475796775,15.6233076404 -16.544920019898008,15.627795237430995</coordinates></LineString>"
3.0,"<LineString><coordinates>-16.462807914199999,15.719792826600001 -16.45129434188247,15.723753128959382</coordinates></LineString>"
4.0,"<LineString><coordinates>-16.544353751,15.744961779 -16.547009055699998,15.733293224</coordinates></LineString>"
5.0,"<LineString><coordinates>-16.525967039899999,15.723309988299999 -16.547009055699998,15.733293224</coordinates></LineString>"
