FID,kmlgeometry
0.0,"<LineString><coordinates>-16.388625555099999,15.7761614299 -16.3942351749,15.781620844200001</coordinates></LineString>"
1.0,"<LineString><coordinates>-16.4846754993,15.7911268176 -16.492607629800002,15.7781120656</coordinates></LineString>"
2.0,"<LineString><coordinates>-16.498770890300001,15.8064578415 -16.4846754993,15.7911268176</coordinates></LineString>"
3.0,"<LineString><coordinates>-16.432293605199998,15.800733318900001 -16.411535691300006,15.797100220599999</coordinates></LineString>"
4.0,"<LineString><coordinates>-16.432293605199998,15.800733318900001 -16.422487579799999,15.818801797699999</coordinates></LineString>"
5.0,"<LineString><coordinates>-16.453661396800001,15.771994881199999 -16.440580342499999,15.7818792129</coordinates></LineString>"
6.0,"<LineString><coordinates>-16.469954261800002,15.7520920989 -16.465145024260288,15.757664811651839</coordinates></LineString>"
7.0,"<LineString><coordinates>-16.375752955399999,15.745503687200001 -16.377983045899999,15.7371381339</coordinates></LineString>"
8.0,"<LineString><coordinates>-16.451608012600001,15.671956245100001 -16.445742735,15.6656954305</coordinates></LineString>"
9.0,"<LineString><coordinates>-16.445742735,15.6656954305 -16.432366074,15.6657833457</coordinates></LineString>"
10.0,"<LineString><coordinates>-16.474179557700001,15.6791624081 -16.488639659809976,15.676306342048338</coordinates></LineString>"
11.0,"<LineString><coordinates>-16.400877722200001,15.624094166500001 -16.415720715500001,15.6233120134</coordinates></LineString>"
12.0,"<LineString><coordinates>-16.423280443499998,15.7746088886 -16.424253694899999,15.760258881900002</coordinates></LineString>"
13.0,"<LineString><coordinates>-16.514949083,15.7839859071 -16.516911670500001,15.769258557500001</coordinates></LineString>"
14.0,"<LineString><coordinates>-16.4712004368,15.659181090499999 -16.4863134794,15.664529021199996</coordinates></LineString>"
15.0,"<LineString><coordinates>-16.485774427700001,15.646727653399999 -16.4863134794,15.664529021199996</coordinates></LineString>"
16.0,"<LineString><coordinates>-16.453661396800001,15.771994881199999 -16.465651217231503,15.758101654953819</coordinates></LineString>"
17.0,"<LineString><coordinates>-16.375752955399999,15.745503687200001 -16.3926105271,15.7541818902</coordinates></LineString>"
18.0,"<LineString><coordinates>-16.432293605199998,15.800733318900001 -16.440580342499999,15.7818792129</coordinates></LineString>"
19.0,"<LineString><coordinates>-16.501723889699999,15.753646883399998 -16.516911670500001,15.769258557500001</coordinates></LineString>"
20.0,"<LineString><coordinates>-16.514949083,15.7839859071 -16.492607629800002,15.7781120656</coordinates></LineString>"
21.0,"<LineString><coordinates>-16.388625555099999,15.7761614299 -16.3926105271,15.7541818902</coordinates></LineString>"
22.0,"<LineString><coordinates>-16.432293605199998,15.800733318900001 -16.449140951500002,15.8188152896</coordinates></LineString>"
23.0,"<LineString><coordinates>-16.411535691300006,15.797100220599999 -16.386741173099999,15.8078708186</coordinates></LineString>"
