FID,kmlgeometry
0.0,"<LineString><coordinates>-16.492455917499999,15.640699059700001 -16.485774427700001,15.646727653399997</coordinates></LineString>"
1.0,"<LineString><coordinates>-16.4151316984,15.824263760199999 -16.422487579799999,15.818801797699999</coordinates></LineString>"
2.0,"<LineString><coordinates>-16.396185028,15.639046480599999 -16.389428089076958,15.64619386007508</coordinates></LineString>"
3.0,"<LineString><coordinates>-16.4527454953,15.702181393699998 -16.448697856599999,15.714301342600001</coordinates></LineString>"
4.0,"<LineString><coordinates>-16.468659417400001,15.810748718299999 -16.449140951500002,15.8188152896</coordinates></LineString>"
5.0,"<LineString><coordinates>-16.521244490499999,15.6602491676 -16.549599488024995,15.670271676930358</coordinates></LineString>"
