FID,kmlgeometry
0.0,"<LineString><coordinates>-16.415720715500001,15.6233120134 -16.400877722200001,15.624094166500001</coordinates></LineString>"
1.0,"<LineString><coordinates>-16.411535691300006,15.797100220599999 -16.422487579799999,15.818801797699999</coordinates></LineString>"
2.0,"<LineString><coordinates>-16.449140951500002,15.8188152896 -16.422487579799999,15.818801797699999</coordinates></LineString>"
3.0,"<LineString><coordinates>-16.411535691300006,15.797100220599999 -16.386741173099999,15.8078708186</coordinates></LineString>"
4.0,"<LineString><coordinates>-16.530056351199999,15.716132395199999 -16.561971920899996,15.708233326799999</coordinates></LineString>"
