FID,kmlgeometry
0.0,"<LineString><coordinates>-16.4846754993,15.7911268176 -16.492607629800002,15.7781120656</coordinates></LineString>"
1.0,"<LineString><coordinates>-16.445742735,15.6656954305 -16.444468957243817,15.669666004420989</coordinates></LineString>"
2.0,"<LineString><coordinates>-16.375752955399999,15.745503687200001 -16.377983045899999,15.7371381339</coordinates></LineString>"
3.0,"<LineString><coordinates>-16.514949083,15.7839859071 -16.516911670500001,15.769258557500001</coordinates></LineString>"
4.0,"<LineString><coordinates>-16.4712004368,15.659181090499999 -16.4863134794,15.664529021199996</coordinates></LineString>"
5.0,"<LineString><coordinates>-16.3926105271,15.7541818902 -16.380239192163586,15.735633350177979</coordinates></LineString>"
6.0,"<LineString><coordinates>-16.492607629800002,15.7781120656 -16.509519160962398,15.761659721883266</coordinates></LineString>"
7.0,"<LineString><coordinates>-16.449140951500002,15.8188152896 -16.432293605199998,15.800733318900001</coordinates></LineString>"
