FID,kmlgeometry
0.0,"<LineString><coordinates>-16.500452696700002,15.629627103099999 -16.497855316400006,15.630286552699999</coordinates></LineString>"
1.0,"<LineString><coordinates>-16.424253694899999,15.7602588819 -16.4252544233,15.7565466675</coordinates></LineString>"
2.0,"<LineString><coordinates>-16.4044761024,15.670302428 -16.4073637722,15.6669487332</coordinates></LineString>"
3.0,"<LineString><coordinates>-16.453894607500001,15.7313127402 -16.448978349299999,15.717019969300001</coordinates></LineString>"
