0.0,"<LineString><coordinates>8.330291566,13.11783198 8.327368769,13.12133299</coordinates></LineString>",NOT FOUND in master list
2.0,"<LineString><coordinates>8.309272266,13.06457256 8.307674129,13.05947224</coordinates></LineString>",NOT FOUND in master list
3.0,"<LineString><coordinates>7.381410766,12.65597823 7.381473491,12.66190272</coordinates></LineString>",NOT FOUND in master list
4.0,"<LineString><coordinates>8.383122071,13.07974097 8.386153631,13.08524933</coordinates></LineString>",NOT FOUND in master list
5.0,"<LineString><coordinates>8.291327969,13.11214148 8.297624786,13.11621192</coordinates></LineString>",NOT FOUND in master list
6.0,"<LineString><coordinates>8.105827595,13.21544845 8.099920005,13.22038695</coordinates></LineString>",NOT FOUND in master list
9.0,"<LineString><coordinates>8.227992796,13.17763087 8.22631097,13.18573942</coordinates></LineString>",NOT FOUND in master list
10.0,"<LineString><coordinates>8.232453715,13.17942411 8.243199248,13.19468942</coordinates></LineString>",NOT FOUND in master list
12.0,"<LineString><coordinates>7.485509505,12.67157843 7.479830658,12.668907</coordinates></LineString>",NOT FOUND in master list
14.0,"<LineString><coordinates>7.043329496,12.97936605 7.067590202,12.94901448</coordinates></LineString>",NOT FOUND in master list
27.0,"<LineString><coordinates>7.723715631,11.85671958 7.69196732,11.85548547</coordinates></LineString>",NOT FOUND in master list
28.0,"<LineString><coordinates>7.723715631,11.85671958 7.742396987,11.88426541</coordinates></LineString>",NOT FOUND in master list
93.0,"<LineString><coordinates>8.676028645,12.72043171 8.679960147,12.70600596</coordinates></LineString>",NOT FOUND in master list
207.0,"<LineString><coordinates>7.258109068,11.63867219 7.281034615,11.62016381</coordinates></LineString>",NOT FOUND in master list
209.0,"<LineString><coordinates>7.842393431,11.88477222 7.84386606,11.89822998</coordinates></LineString>",NOT FOUND in master list
210.0,"<LineString><coordinates>7.827470684,11.90915277 7.810758088,11.89931932</coordinates></LineString>",NOT FOUND in master list
211.0,"<LineString><coordinates>7.827470684,11.90915277 7.84386606,11.89822998</coordinates></LineString>",NOT FOUND in master list
212.0,"<LineString><coordinates>7.792295031,11.91242028 7.810758088,11.89931932</coordinates></LineString>",NOT FOUND in master list
214.0,"<LineString><coordinates>7.824597664,11.93138234 7.827470684,11.90915277</coordinates></LineString>",NOT FOUND in master list
238.0,"<LineString><coordinates>7.748311101,11.75237816 7.750599491,11.77307298</coordinates></LineString>",NOT FOUND in master list
239.0,"<LineString><coordinates>7.748311101,11.75237816 7.744994664,11.73029259</coordinates></LineString>",NOT FOUND in master list
245.0,"<LineString><coordinates>7.6830931,11.75618541 7.674767463,11.7633769</coordinates></LineString>",NOT FOUND in master list
262.0,"<LineString><coordinates>7.870208766,11.74067046 7.877847978,11.75762858</coordinates></LineString>",NOT FOUND in master list
263.0,"<LineString><coordinates>7.877847978,11.75762858 7.864118964,11.77134164</coordinates></LineString>",NOT FOUND in master list
282.0,"<LineString><coordinates>7.55780756,12.81732117 7.555113399,12.79709051</coordinates></LineString>",NOT FOUND in master list
283.0,"<LineString><coordinates>7.461088705,12.37289408 7.444670884,12.39382701</coordinates></LineString>",NOT FOUND in master list
348.0,"<LineString><coordinates>7.245708476,12.33080062 7.252035576,12.31517126</coordinates></LineString>",NOT FOUND in master list
349.0,"<LineString><coordinates>7.256757021,12.34374807 7.245708476,12.33080062</coordinates></LineString>",NOT FOUND in master list
371.0,"<LineString><coordinates>7.198237612,12.32486985 7.212895313,12.3334635</coordinates></LineString>",NOT FOUND in master list
377.0,"<LineString><coordinates>7.198237612,12.32486985 7.20639874,12.30860522</coordinates></LineString>",NOT FOUND in master list
380.0,"<LineString><coordinates>7.357537868,12.47264994 7.381655003,12.47243371</coordinates></LineString>",NOT FOUND in master list
381.0,"<LineString><coordinates>7.405257147,12.47744604 7.381655003,12.47243371</coordinates></LineString>",NOT FOUND in master list
382.0,"<LineString><coordinates>7.381707448,12.49708192 7.381655003,12.47243371</coordinates></LineString>",NOT FOUND in master list
385.0,"<LineString><coordinates>7.424947396,12.41308775 7.444670884,12.39382701</coordinates></LineString>",NOT FOUND in master list
390.0,"<LineString><coordinates>7.270618735,12.39705766 7.295709436,12.3866528</coordinates></LineString>",NOT FOUND in master list
394.0,"<LineString><coordinates>7.30701315,12.35889731 7.295709436,12.3866528</coordinates></LineString>",NOT FOUND in master list
400.0,"<LineString><coordinates>7.643779433,12.27126123 7.628577358,12.25634298</coordinates></LineString>",NOT FOUND in master list
408.0,"<LineString><coordinates>8.172244728,12.4829037 8.161718357,12.49966624</coordinates></LineString>",NOT FOUND in master list
409.0,"<LineString><coordinates>8.167239074,12.52156063 8.161718357,12.49966624</coordinates></LineString>",NOT FOUND in master list
